human_symbol
CST1
COL26A1
ASGR2
SOX11
TNNT1
UPK1A
TNNI3
IGDCC3
CDH2
TF
STARD4-AS1
SEMA3A
GUCY1A2
TEAD2
SBK1
GPR82
TMEM132A
SULT1C4
GPC1
WIF1
CTNND2
AC007114.2
FLNA
TAC3
CADM4
AC105411.1
AC004556.1
CD200
CRISPLD1
CMTM3
EFEMP1
AXL
GDF11
C9orf116
PLEKHA4
STMN3
TTYH1
AIF1L
COL14A1
SYNC
AMHR2
MEX3A
FADS2
GPX8
FSCN1
ASGR1
TCF7
CRABP1
FXYD6
PXDN
SYNGR1
EFEMP2
FAM229B
FAM215B
NOVA1
SEMA3D
ZNF618
F2R
RGL3
ARHGEF19
APOA2
GYPC
FILIP1L
SHH
ABHD14A
ENAH
PDGFC
TET1
NOTCH3
PLEKHB1
CLEC11A
SCD
PDLIM7
TMEM237
CBX6
SUSD3
BEX5
PODXL2
BX890604.1
ETV4
TNNC1
TCTEX1D2
DUSP4
POMC
HLA-DQB1
TYRO3
PYGL
FXN
HYAL2
WDR54
FKBP10
PPP1R1A
EVL
FRAS1
SIGLEC11
FSTL1
PTK7
MAP9
GYG2
SMARCA1
PLTP
ADGRV1
RBPMS
HDGFL3
CDCA7L
MYLK
GPX7
TPST1
DNMT3A
LARGE1
CKLF
RAMP2
UBE2Q2
