mm
Wee1
Tle3
Flot2
Crocc
Scml4
Fam13a
Psip1
Cbx2
Slc1a3
Nme4
Ngef
L3mbtl3
Hes1
Zmym4
Enpp1
Grlf1
Dpysl5
Phgdh
Stmn1
Zfp280c
Rbm38
Marcksl1
Acss1
Hk2
Slc25a4
Hmgn1
Prom1
Rrp1b
Chek1
Mga
Fam60a
Bcl11a
Itga1
Zmym3
Thumpd2
Pbld
Fhit
Cdca5
Gtf2i
Polr1e
Zfp422
Sntb2
Esco2
Zfp629
Insr
Bag2
Plscr3
Uhrf2
Slc27a1
Dkc1
Dock11
Trit1
Xpc
Tia1
Mtus1
Narg2
Zfp191
Trp53bp1
Chek2
Cps1
Gins4
Mcm2
Whsc1
Msh2
Trim28
Nrm
Nfib
Atrx
Ephb2
Zfp512
Zfp346
Rpa2
Surf2
Hells
Ccnb1
Ttk
Zfp451
Dnajc9
Pola2
Pdxk
Sipa1l1
Acss2
Pdp1
Apex1
Spata13
Zfp280d
Hmgb3
Mcm5
Zfp828
Unc84b
Mcm6
Clic4
Vgll4
Cdk4
Macrod1
Tmx4
Neil1
Mcm3
Zmym2
Nmral1
Pgcp
Nusap1
Mycbp2
Mcm7
Smad5
Mecp2
Bcl11b
Incenp
Hmga1
Nup210
Mcm4
Foxp4
Rad50
Lzts2
Pou2f1
Flna
Rtn4
Fhl2
Hrsp12
Sdsl
Nubpl
Mbp
Ivd
Adnp
Eri1
Pkig
Bphl
Spin1
Lhpp
Urod
Isg20l2
Dtd1
Lyplal1
Atxn10
Mett5d1
Phf6
Rnf2
Arsb
Ppp1r1b
Zfp740
Fto
Wdr55
Polr1a
Chchd6
Nhp2
Brd8
Bckdha
Cyp2e1
Lgr5
Tnfrsf19
Fstl1
Gkn3
Scn2b
Ces1d
Prelp
Sp5
E230029C05Rik
Il17rd
Fmnl2
Arl4c
Cttnbp2
Rgmb
Angpt2
Axin2
Hunk
Car12
Ptpro
Dct
Sfrp5
Sycn
Clca2
1300002K09Rik
Casp12
Emp2
Mia1
Psrc1
Notch1
Rnf43
Ddo
Arhgef4
Clca1
Evl
Utrn
Esrrg
Esam
Fgfr4
Sema7a
Wwtr1
Sorcs2
Rad51l1
Irs1
Mpp3
Ttc21b
Cdo1
Pla2g4a
Atg16l2
Epha4
Smo
Cpn1
Klhl8
Rnf32
Fzd2
D930015E06Rik
Tgif2
Wdr35
Ell3
Apcdd1
Cdc42ep1
Fzd7
Afap1
Mex3a
Adra2a
Shisa2
Pogk
Gramd1a
Sox4
Napepld
Txndc16
Sectm1b
Slc23a3
Cited4
B930095G15Rik
Ephb3
Gpr30
Ppap2b
Znrf3
Tfpi
Plekhb1
Rgs12
Farp1
Cd320
Cc2d2a
Cbx6
Tead2
Mycl1
Rasa3
Plxnb1
Man2a2
Large
Nap1l1
Trim44
Prkd3
Gkap1
Srl
Tex9
6230424C14Rik
Gpld1
Cachd1
Myc
Zranb3
Wwp1
Lipt2
Dync2h1
Gas6
Atm
Ptprs
Snx10
Zfp12
Kcne3
Ttpa
Wdr90
Immp2l
Dmpk
Fbxo21
Psd3
Ddb2
Zkscan17
Slc19a2
Clic6
Afap1l1
Ascl2
Sorbs2
Nav1
Slco3a1
Olfm4
Agr3
Msi1
Soat1
Cdca7
Cd44
Cdk6
Aqp4
Cgnl1
Slc12a2
Mecom
Tns3
Phldb2
Smoc2
Dach1
Clca4
Lcp1
Fam115c
Acsm3
Kcnq1
Sox9
Paics
Sept6
Cnn3
Picalm
Glrx
Vdr
Grb7
Sesn3
Zbtb38
Fam115a
Ptprm
Rassf4
Zfhx3
Pde3b
Fhdc1
Zfp292
Tubb2b
Efna4
Lrig1
Fras1
Adrbk2
Kif12
Prkacb
Atp11a
Spata24
Poli
Mcc
Slc44a2
Tbc1d19
Zfp462
1500011H22Rik
Arhgap39
Zbtb12
Ehf
App
Gm5918
Trim37
Marveld1
Ppp1r9a
Peli2
Tns4
Mfge8
Slc39a10
Ppat
Zfp566
Klhl23
Tiam1
Gm3626
Aqp1
Tmem132a
Rhbdf1
2310008H04Rik
Pbx1
Tnfsf10
Als2cr4
Phlpp1
Ift122
Bcl2
Lysmd2
Zfp397
Tspan5
Acvr2b
Mlh3
Brca2
Zfp275
Engase
Nelf
Gabbr1
Rgnef
Ppm1f
Prrc2b
AU020206
Fads1
Nod1
Rnf219
4933439C10Rik
Pnpla7
Zfp704
C79407
Eri2
Tnfaip8l1
Ttc23
Mpzl3
Zbtb25
Maged1
Fam92a
Ccdc18
Zfp783
Krt23
Mlxip
Lancl1
Lpar6
Zfp553
Poglut1
Pole
Mcm8
Haus4
Zfp90
Plce1
Fam189b
Pds5b
Tgif1
Phc1
Blnk
Spice1
Aspm
Isyna1
Palb2
Hirip3
Alms1
Lass6
Mpzl1
Cenpf
Mdn1
Sema3b
Zmym1
Cep192
Ung
Prpf40b
Atr
AI480653
Zfp318
Tmem9
Gins1
Ifitm2
Vnn1
Smpx
Tmem194
Dtl
Csnk1e
Dctd
Xrcc5
Nt5c3l
Aldh7a1
Limk2
Etv6
Elmo1
Dapk2
Nfic
Timeless
Ckap2
Myo1b
Nfia
Csad
Tbc1d4
Bckdhb
Bcl7a
Pck2
Yap1
Stk39
Rprd1a
Ilf3
Kif20a
Mif
Mkl2
Fam120c
Ncor2
Pcdh8
Rassf5
Slc14a1
Nr2e3
1190002H23Rik
Smarcd3
Ak7
Bhlhb9
Prss23
Ifitm3
Wfdc15b
Rdh16
Zfp618
Lect2
H2-Eb1
Iffo2
Zc3hav1l
Klhl24
Tbc1d9
Ciita
Nrtn
Nrg4
Tcf7
Greb1
Nrn1
AI747448
Dtx4
Trim32
Rasl11b
Zfp503
BC021891
Pdgfa
Tlr2
S100pbp
4933431E20Rik
Fgd1
1110051M20Rik
Slc16a13
Kank1
Clu
Phf20
Zfp956
1700040L02Rik
Rhobtb3
Fam171a1
Pde8b
Rccd1
Sgk1
Impdh2
Irf2bp2
Acot1
Tifa
Trim24
Hmga2
Hmbox1
Hmgcs2
Arid5b
Noxa1
