human_symbol
NGRN  
FBXL13  
ITGA3  
SLC25A25  
SEMA4B  
MAPK3  
RIN1  
PNPLA2  
RHOD  
MID1IP1  
DDR1  
LAMB3  
FLRT1  
PRSS22  
LAMC2  
HOXA4  
FAM83A  
EXOC7  
TNFRSF21  
RIPK4  
PRPH  
KRT19  
COLEC10  
SPINT1  
VGLL1  
ZNF185  
GJB3  
PAEP  
RIMBP2  
WFDC3  
GAS6  
HTR2C  
MROH6  
CAPN12  
FBXL14  
MAGI2  
ANXA3  
PPL  
BAIAP2  
LINGO1  
KLK7  
EPHA2  
KRT17  
SCGN  
KLK5  
LAMA3  
EPS8L1  
FXYD4  
SNX24  
SLC22A18  
KLK8  
KCNN4  
RASAL1  
LEMD1  
KCNK3  
RNF39  
HIST2H2BE  
LMO7  
C1orf116  
PSORS1C1  
GPRC5A  
SEZ6L2  
C19orf33  
GDPD3  
KLK10  
SLC20A1  
KLK11  
KLK6  
SCEL  
KCNJ16  
KRT80  
CAMK2N1  
KRT6A  
DISP2  
SLC2A1  
SCNN1A  
TM4SF4  
MSLN  
COL17A1  
FAM155A  
KRT6B  
PLA2G10  
MYBPC1  
SFTA2  
SLPI  
VSIG2  
RHBDL2  
SERPINB5  
S100A2  
MMP7  
CTSE  
NXF3  
GSTA2  
GSTA1  
CLSTN2  
HOXB8  
GABRP  
TACSTD2  
DUSP27  
