human_symbol
C9orf116
SMIM33
C6orf141
ABCB1
ABI3
ACSM3
AKR1B10
AKR1B1
AKR1B10
ALCAM
ANXA1
ANXA3
ANXA5
AP1S3
ARHGAP44
ARHGEF4
ARL14
ARL4C
AVPI1
BAIAP2L2
BASP1
BOK
CAMKK1
CAMSAP2
CAP2
CAPN5
CA12
CA2
CAVIN3
CCDC92
CCL2
CCN2
CD14
CD44
CD68
CELF2
CGNL1
CKAP2
CKB
CLCA4
CLDN1
CLDN4
CLIC3
CLU
CNN2
CRYBG1
CTSH
CWH43
CXCL1
CXCL10
CXCL16
CXCL2
CXCL5
CXCL9
DAPK1
DDAH1
DYRK3
EMP1
EMP2
ENAH
ENDOD1
EPHA2
EPHA4
EPN3
EPOP
EPS8L1
ERCC5
EREG
ETV5
EYA2
FABP5
FFAR4
FHL2
FKBP9
FLNA
FMNL2
FOSL1
FUT2
FXYD3
GADD45B
GASK1B
GATM
GCNT1
GCNT3
GJB3
GLIPR1
GPNMB
GPR137B
GPX2
GTSE1
HCAR2
HMOX1
HSPA1B
HSPA2
HSPB1
HSPH1
HYAL1
ICA1
ICAM1
ID2
IFITM3
IL17RE
IL1RN
IL33
ILDR1
INKA2
IRF1
ITGA2
ITGAV
ITGB4
ITPRIPL2
KCNN4
KIFC3
KLF7
KRT15
KRT18
KRT23
LAMA3
LAPTM5
LCN2
LDLR
LGALS1
LPCAT4
LRG1
MDM2
MFSD4A
MISP3
MRAS
MSANTD3
MSLN
MSN
MST1R
MTCL1
MUC3A
MUC4
MYH9
NFE2L3
NFKBIA
NFKBIZ
NOS2
NOXO1
OAS1
OSBPL5
P2RY2
P2RY6
PAQR8
PDZK1IP1
PHLDA1
PHLDA2
PIMREG
PLAU
PLAUR
PLCD3
PLEKHS1
PLK2
PMEPA1
PPIC
PPL
PSRC1
PTGS2
RAB11FIP5
RAB15
RACK1
RALGAPA2
RBMS1
RGS19
RHOD
RIPK2
RPPH1
RUNX1
S100A14
S100A4
S100A6
SAMD5
SCARNA17
SCEL
SEMA7A
SERPINB9
SH3BGRL2
SLC19A2
SLC39A10
SLC44A2
SLC7A5
SLCO4A1
SLPI
SNORA20
SNORA73A
SNORA73B
SNORD104
SNORD118
SNORD43
SNORD92
SOCS3
SORL1
SPATA6
SPP1
STX11
SULF2
SYT8
TCIM
TCIRG1
TGFBI
TGM2
TIMP2
TINAGL1
TLR4
TMEM184C
TMEM43
TNF
TNFAIP3
TNFAIP8
TNFRSF1B
TNFSF9
TNIP3
TNNI2
TNNT2
TNS4
TRAM2
TRIM15
TRIM40
TSPAN4
TSPAN6
TUBA1A
VAMP5
VIM
VNN1
WFDC2
WWTR1
ZNF296
ZNF703
ZMAT3
HLA-DQB1
HLA-G
