human_symbol
LAMB3
SDCBP2
EMP1
EPS8L1
JUP
LMO7
MYOF
ITGB4
GPRC5A
AHNAK
CAMK2N1
C19orf33
MYH14
CD55
RHOF
TMBIM1
SEMA3B
TINAGL1
MISP
COL17A1
PLEC
TSPAN1
ABHD11-AS1
PTPRH
CRB3
ITGA3
RIOK3
LAMC2
CYP3A5
FA2H
RRAS
MUC13
CEACAM1
TMPRSS2
SERINC2
SLC44A4
PCDH1
USP53
C1orf106
FLNB
CXCL16
EZR
TNFRSF21
CDA
ADAM9
RNF103
KRT80
EFNB1
SMAD3
PDZK1IP1
LRP10
PRSS22
AHNAK2
B4GALT1
ANXA11
BAIAP2L1
F11R
DUSP5
DDR1
ITGB1
SLC2A1
CDKN2B
PLAUR
ITGA2
CDCP1
CD59
DSG2
KLK10
ARFGAP3
CD68
CGN
TM4SF1
PPP2CB
HEBP2
UGCG
GBP3
TIMP2
PINK1
CYSTM1
SLC6A8
PPARD
LIPH
CLIC3
SPINT1
PTK6
TJP3
STK24
AC009133.12
CEACAM5
MXD1
SNX9
ERO1L
SSFA2
TSPAN3
SLPI
BMP2
GJB3
LAMA3
TMPRSS4
B4GALNT3
